feature,rf_importance,rfe_ranking,shap_importance
IsAdultMale,0.09417136474383783,4,0.08327051179327466
IsWCG,0.08502119710382978,6,0.0733186162239431
Sex_Pclass,0.11266025665034224,2,0.0629686771087325
Fare,0.16780089156962297,1,0.04669486298232096
Sex,0.065765874026802,7,0.042291626479192414
Age,0.1802989015913126,3,0.04134273680286297
Deck,0.04645115597145876,9,0.03559704415813238
Pclass,0.03019024282925105,11,0.03227976434682522
WCG_Survival_Group,0.057548105065891364,5,0.02965353591169059
Embarked,0.024629637550166995,13,0.023913763981392028
Dead_Woman,0.03887430525000923,8,0.022148670227461496
Ticket_Group_Count,0.04202478797779019,10,0.017515226624286364
SibSp,0.030537526405758075,12,0.011205029088650441
Parch,0.017852733071431707,14,0.006935993744893159
Surviving_Male,0.006173020192495372,15,0.0027649736616329116
