MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,TotalSF,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_AllPub,Utilities_NoSeWa,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice,Id
10,4.189654742026425,9.042040056544483,0.6931471805599453,1,3,0.0,7,4,2003,2003,5.2832037287379885,1.0986122886681096,1.6094379124341003,2,1.6094379124341003,1.3862943611198906,2,6.561030665896573,1.9459101490553132,0.0,5.017279836814924,856.0,0,0.6931471805599453,6.75343791859778,6.75110146893676,0.0,7.444833273892193,1.0,0.0,2,1,3,0.6931471805599453,1.0986122886681096,8,1.9459101490553132,0,3,7.602900462204755,2,2.0,548.0,1.791759469228055,1.791759469228055,1.0986122886681096,0.0,4.127134385045092,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,4,2,7.8504931808711405,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12.24769911637256,1
5,4.394449154672439,9.169622538697624,0.6931471805599453,1,3,0.0,6,7,1976,1976,0.0,1.3862943611198906,1.6094379124341003,2,1.6094379124341003,0.6931471805599453,0,6.88653164253051,1.9459101490553132,0.0,5.652489180268651,1262.0,0,0.6931471805599453,7.141245122350491,0.0,0.0,7.141245122350491,0.0,0.6931471805599453,2,0,3,0.6931471805599453,1.3862943611198906,6,1.9459101490553132,1,5,7.589335823170617,2,2.0,460.0,1.791759469228055,1.791759469228055,1.0986122886681096,5.700443573390686,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,7,1,7.83399634170946,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12.109016442313738,2
10,4.23410650459726,9.328212292571072,0.6931471805599453,1,0,0.0,7,4,2001,2002,5.093750200806762,1.0986122886681096,1.6094379124341003,2,1.6094379124341003,1.0986122886681096,2,6.18826412308259,1.9459101490553132,0.0,6.075346031088684,920.0,0,0.6931471805599453,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,1.0,0.0,2,1,3,0.6931471805599453,1.0986122886681096,6,1.9459101490553132,1,5,7.601901959875166,2,2.0,608.0,1.791759469228055,1.791759469228055,1.0986122886681096,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,11,2,7.903596289614301,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12.317171167298682,3
11,4.110873864173311,9.164401140034737,0.6931471805599453,1,0,0.0,7,4,1915,1970,0.0,1.3862943611198906,1.6094379124341003,4,0.6931471805599453,1.3862943611198906,0,5.37989735354046,1.9459101490553132,0.0,6.293419278846481,756.0,2,0.6931471805599453,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1.0,0.0,1,0,3,0.6931471805599453,1.0986122886681096,7,1.9459101490553132,1,2,7.6004023345004,3,3.0,642.0,1.791759469228055,1.791759469228055,1.0986122886681096,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,4,0,7.813591552952433,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,11.849404844423074,4
10,4.442651256490317,9.565283817736766,0.6931471805599453,1,0,0.0,8,4,2000,2000,5.860786223465865,1.0986122886681096,1.6094379124341003,2,1.6094379124341003,0.0,2,6.486160788944089,1.9459101490553132,0.0,6.19644412779452,1145.0,0,0.6931471805599453,7.044032897274685,6.960347729101308,0.0,7.695757990554761,1.0,0.0,2,1,4,0.6931471805599453,1.0986122886681096,9,1.9459101490553132,1,5,7.601402334583733,2,3.0,836.0,1.791759469228055,1.791759469228055,1.0986122886681096,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,3,2,8.114922974204593,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12.429220196836383,5
9,4.454347296253507,9.55506418479516,0.6931471805599453,1,0,0.0,5,4,1993,1995,0.0,1.3862943611198906,1.6094379124341003,2,1.6094379124341003,1.3862943611198906,2,6.597145701886651,1.9459101490553132,0.0,4.174387269895637,796.0,0,0.6931471805599453,6.680854678790215,6.340359303727752,0.0,7.217443431696533,1.0,0.0,1,1,1,0.6931471805599453,1.3862943611198906,5,1.9459101490553132,0,3,7.597897950521784,3,2.0,480.0,1.791759469228055,1.791759469228055,1.0986122886681096,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,1.3862943611198906,1.0986122886681096,6.55250788703459,1,3,7.677400430514807,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.870606902224587,6
5,4.330733340286331,9.218804450388312,0.6931471805599453,1,3,0.0,8,4,2004,2005,5.231108616854587,1.0986122886681096,1.6094379124341003,0,1.6094379124341003,0.0,2,7.222566018822171,1.9459101490553132,0.0,5.762051382780177,1686.0,0,0.6931471805599453,7.43543801981455,0.0,0.0,7.43543801981455,1.0,0.0,2,0,3,0.6931471805599453,1.0986122886681096,7,1.9459101490553132,1,2,7.60339933974067,2,2.0,636.0,1.791759469228055,1.791759469228055,1.0986122886681096,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,10,1,8.125926802707886,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12.634606283893019,7
10,4.394449154672439,9.247925132303454,0.6931471805599453,1,0,0.0,7,5,1973,1973,5.484796933490655,1.3862943611198906,1.6094379124341003,2,1.6094379124341003,1.0986122886681096,0,6.756932389247553,0.6931471805599453,3.4965075614664802,5.37989735354046,1107.0,0,0.6931471805599453,7.010311867307229,6.891625897052253,0.0,7.645397699428633,1.0,0.0,2,1,3,0.6931471805599453,1.3862943611198906,7,1.9459101490553132,2,5,7.587817219993427,2,2.0,484.0,1.791759469228055,1.791759469228055,1.0986122886681096,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,5.860786223465865,2,3,8.0702808933939,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12.206077645517674,8
9,3.9512437185814275,8.71948076085107,0.6931471805599453,1,3,0.0,7,4,1931,1950,0.0,1.3862943611198906,1.6094379124341003,4,1.6094379124341003,1.3862943611198906,6,0.0,1.9459101490553132,0.0,6.859614903654202,952.0,2,0.6931471805599453,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0.0,0.0,2,0,2,1.0986122886681096,1.3862943611198906,8,1.0986122886681096,2,5,7.566311014772463,3,2.0,468.0,0.6931471805599453,1.791759469228055,1.0986122886681096,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,6,2,7.910957382845589,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,11.774527900858468,9
4,3.9318256327243257,8.912069097970134,0.6931471805599453,1,3,0.0,5,5,1939,1950,0.0,1.3862943611198906,1.6094379124341003,4,1.6094379124341003,1.3862943611198906,2,6.747586526829315,1.9459101490553132,0.0,4.948759890378168,991.0,0,0.6931471805599453,6.982862751468942,0.0,0.0,6.982862751468942,1.0,0.0,1,0,2,1.0986122886681096,1.3862943611198906,5,1.9459101490553132,2,5,7.570443252057374,2,1.0,205.0,1.0986122886681096,1.791759469228055,1.0986122886681096,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,0,2,7.634820677745543,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11.678448377988165,10
